CSI#,MONTH CODE,SYMBOL,EXCHANGE,NAME,POINT VALUE,CONTRACT SIZE,UNIT OF MEASURE,CURRENCY,,,START DATE,,,,,FOOTNOTE,
264,61,EU,FINEX,Euro,2 USD,200000 EUR,USD,USD,,,19860107,,,,,,,
265,54,AD2,CME,Australian Dollar (Floor Trading Only),10 USD,100000 AUD,USD,USD,,,19861125,,,,,,,
266,54,GI,CME,Goldman Sachs Commodity,2.50 USD,250 USD x Index,points,USD,,,19691231,,,,,,,
269,54,ED2,CME,Eurodollar-3 Mth (Floor Trading Only),2.5 USD,1000000 USD,USD / basis point,USD,,,19811209,,,,,,,
270,54,EM2,CME,LIBOR (Floor Trading Only),2.50 USD,3000000 USD,USD / basis point,USD,,,19900326,,,,,,,
278,54,MP2,CME,Mexican Peso  (Floor Trading Only),5 USD,500000 MXN,USD,USD,,,19971202,,,,,,,
290,54,SP2,CME,S&P 500 (Floor+Electronic Combined),2.5 USD,250 USD x Index,points,USD,,,19500103,,,,,,,
293,54,FV2,CBT,T-Note-U.S.  5 Yr (Floor Trading Only),3.125 USD,100000 USD,points,USD,,,19950810,,,,,,,
304,54,NGL,ICE,Natural Gas (National Balancing Point) (IPE),0.30 GBP,1000 Therm / Day,0.01 GBP / Therm,GBP,,,20001212,,,,,,,
305,54,KLB,MDEX,KLIBOR (3 Mth),25 MYR,1000000 MYR,points,MYR,,,20030430,,,,,,,
307,54,HTX,OTOB,Hungarian Stock Index,0.50 USD,5 USD x Index,percent,USD,,,19941230,,,,,,,
320,54,AEX,EOE,EOE Index(Amsterdam),2 EUR,Euro 200 x Index,points,EUR,,,19921012,,,,,,,
326,54,ATX,OTOB,Austrian Trade Index,1 EUR,10 EUR x Index,points,EUR,,,19921111,,,,,,,
329,54,KFX,FUTOP,KFX Index,100 DKK,10000 DKK x Index,points,DKK,,,19930126,,,,,,,
330,54,SHK,SGX,Hong Kong Index (SIMEX),5 USD,5 USD x Index,points,USD,,,19981130,,,,,,,
331,54,MFX,MEFF,IBEX 35 Index,1 EUR,10 EUR x Index,points,EUR,,,19930406,,,,,,,
333,54,NGB,SFE,New Zealand Govt Stock(10Yr) (NZFE),10 NZD,100000 NZD,percent,NZD,,,20050321,,,,,,,
338,54,OBX,OSLO,OBX Index,10 NOK,100 NOK x Index,points,NOK,,,19930917,,,,,,,
342,54,BFX,EURONEXT,Belgian 20 Index  (BELFOX),2 EUR,20 EUR x Index,points,EUR,,,19931029,,,,,,,
346,54,JNW,OSE,Nikkei 300 Index  (Floor+Evening Combined),1000 JPY,10000 JPY x Index,points,JPY,,,19940209,,,,,,,
347,54,FMC,EURONEXT,FTSE 250 Index (LIFFE),10 GBP,100 GBP x Index,points,GBP,,,20061016,,,,,,,
355,54,BR,CME,Brazilian Real,10 USD,100000 BRL,USD,USD,,,19951101,,,,,,,
381,54,YTC,SFE,Australian Govt Bond 6%(10Yr),8 AUD,100000 AUD,percent,AUD,,,19850114,,,,,,,
382,54,TU,CBT,T-Note-U.S.  2 Yr (Floor+Electronic Combined),6.25 USD,200000 USD,points,USD,,,19950810,,,,,,,
391,54,IND,BMF,Ibovespa Index,1 BRL,1 BRL x Index,points,BRL,,,19930427,,,,,,,
401,54,SG,CME,S&P 500 BARRA Growth Index,2.50 USD,250 USD x Index,points,USD,,,19921030,,,,,,,
402,54,SU,CME,S&P 500 BARRA Value Index,2.50 USD,250 USD x Index,points,USD,,,19921030,,,,,,,
406,54,KLI,MDEX,KLSE Comp Index,5 MYR,50 MYR x Index,points,MYR,,,19870805,,,,,,,
409,54,S2,CBT,Soybeans (Floor+Electronic Combined),6.25 USD,5000 bu,0.01 USD / bu,USD,,,19590701,,,,,,,
410,54,SM2,CBT,Soybean Meal  (Floor+Electronic Combined),10 USD,100 short tons,USD / short ton,USD,,,19590701,,,,,,,
411,54,BO2,CBT,Soybean Oil  (Floor+Electronic Combined),6 USD,60000 lb,0.01 USD / lb,USD,,,19660523,,,,,,,
412,54,C2,CBT,Corn  (Floor+Electronic Combined),6.25 USD,5000 bu,0.01 USD / bu,USD,,,19590701,,,,,,,
413,54,W2,CBT,Wheat  (Floor+Electronic Combined),6.25 USD,5000 bu,0.01 USD / bu,USD,,,19660516,,,,,,,
414,54,O2,CBT,Oats  (Floor+Electronic Combined),6.25 USD,5000 bu,0.01 USD / bu,USD,,,19700105,,,,,,,
429,54,ND,CME,Nasdaq 100 Index (Floor+Electronic Combined),10 USD,100 USD x Index,points,USD,,,19851001,,,,,,,
443,54,MDX,EUREX,DAX Midcap Index-DTB,0.5 EUR,5 EUR x Index,points,EUR,,,19960923,,,,,,,
448,54,STW,SGX,MSCI Taiwan Index (SIMEX),10 USD,100 USD x Index,points,USD,,,19970109,,,,,,,
450,54,RP,CME,Euro/British Pound,1.25 GBP,125000 EUR,GBP,GBP,,,19990113,,,,,,,
451,54,RY,CME,Euro/Japanese Yen,1250 JPY,125000 EUR,JPY,JPY,,,19990113,,,,,,,
452,54,RF,CME,Euro/Swiss Franc,12.5 CHF,125000 EUR,CHF,CHF,,,19990113,,,,,,,
455,54,ND2,CME,Nasdaq 100(Floor Trading Only),1 USD,100 USD x Index,points,USD,,,19851001,,,,,,,
458,54,RA2,CME,South African Rand,5 USD,500000 ZAR,USD,USD,,,19970512,,,,,,,
459,54,NE2,CME,New Zealand Dollar,10 USD,100000 NZD,USD,USD,,,19970512,,,,,,,
466,54,ALS,SAFEX,FTSE/JSE Top 40 Index,10 ZAR,10 ZAR x Index,points,ZAR,,,19900502,,,,,,,
468,54,INI,SAFEX,Industrial Index,10 ZAR,10 ZAR x Index,points,ZAR,,,19900502,,,,,,,
487,54,ES,CME,S&P 500 Index-E-mini,0.50 USD,50 USD x Index,points,USD,,,19500103,,,,,,,
491,54,PSI,BDP,PSI 20 Index,1 EUR,1 EUR x Index,points,EUR,,,19970903,,,,,,,
496,54,DJ,CBT,Dow Jones Industrial Index(Floor+Electronic Combined),10 USD,10 USD x Index,points,USD,,,19281001,,,,,FN496,
497,54,NQ,CME,Nasdaq 100 Index-E-mini,0.20 USD,20 USD x Index,points,USD,,,19851001,,,,,,,
498,54,JT,CME,Japanese Yen E-mini,6.25 USD,6250000 JPY,USD / 100 JPY,USD,,,19720517,,,,,,,
499,54,EX,CME,Euro E-mini,6.25 USD,62500 EUR,USD,USD,,,19720516,,,,,,,
501,54,KOS,KSE,KOSPI 200 Index,5000 KRW,500000 KRW x Index,points,KRW,,,19980120,,,,,,,
519,54,RU2,CME,Russian Ruble,25 USD,2500000 RUB,USD,USD,,,19980422,,,,,,,
520,54,CTX,OTOB,Czech Index,0.50 USD,5 USD x Index,points,USD,,,19980423,,,,,,,
521,54,PTX,OTOB,Polish Index,0.50 USD,5 USD x Index,points,USD,,,19980423,,,,,,,
522,54,RTX,OTOB,Russian Index,0.1 USD,10 USD x Index,points,USD,,,19980423,,,,,,,
523,54,FEU,EURONEXT,Eurotop 100 Index (LIFFE),2 EUR,20 EUR x Index,points,EUR,,,19980512,,,,,,,
524,54,CU,CME,Euro(Floor+Electronic Combined),12.50 USD,125000 EUR,USD,USD,,,19720516,,,,,,,
529,54,SXX,EUREX,DJ STOXX 50 Index,1 EUR,10 EUR x Index,points,EUR,,,19980622,,,,,,,
530,54,SXE,EUREX,DJ Euro STOXX 50 Index,0.1 EUR,10 EUR x Index,points,EUR,,,19980622,,,,,,,
539,54,SSG,SGX,MSCI Singapore Stock Index (SIMEX),20 SGD,200 SGD x Index,points,SGD,,,19980901,,,,,,,
550,54,STL,SGX,Index-DJ Thailand Stock (SIMEX),3 USD,300 USD x Index,points,USD,,,19981102,,,,,,,
580,54,FEB,EURONEXT,FTSE Eurobloc 100 (LIFFE),2 EUR,20 EUR x Index,points,EUR,,,19990525,,,,,,,
581,54,FET,EURONEXT,FTSE Eurotop 300 (LIFFE),2 EUR,20 EUR x Index,points,EUR,,,19990525,,,,,,,
582,54,FEK,EURONEXT,FTSE Eurotop 300 excluding UK (LIFFE),2 EUR,20 EUR x Index,points,EUR,,,19990525,,,,,,,
583,54,MSE,EURONEXT,MSCI Euro (LIFFE),2 EUR,20 EUR x Index,points,EUR,,,20000630,,,,,,,
584,54,MSP,EURONEXT,MSCI Pan-Euro (LIFFE),2 EUR,20 EUR x Index,points,EUR,,,20000630,,,,,,,
588,54,SXF,ME,S&P Canada 60  (Floor+Electronic Combined),2 CAD,200 CAD x Index,points,CAD,,,19981231,,,,,,,
594,54,DR2,CBT,Dow Jones Utility Average(Floor Trading Only),2 USD,200 USD x Index,points,USD,,,20000720,,,,,,,
595,54,DQ2,CBT,Dow Jones Transportation Average(Floor Trading Only),2 USD,20 USD x Index,points,USD,,,20000720,,,,,,,
596,54,DJ2,CBT,Dow Jones Industrial Average(Floor Trading Only),10 USD,10 USD x Index,points,USD,,,19281001,,,,,FN596,
600,54,EOX,EUREX,OMX Helsinki 25,0.10 EUR,10 EUR x Index,points,EUR,,,19950505,,,,,,,
626,54,LMX,LME,LMEX Index,1 USD,10 USD x Index,points,USD,,,20000531,,,,,,,
627,54,FTM,EURONEXT,FTSE TechMARK 100 Index (LIFFE),1 GBP,10 GBP x Index,points,GBP,,,20000630,,,,,,,
640,54,JRI,OME,Rubber Index,200 JPY,20000 JPY x Index,points,JPY,,,19970106,,,,,,,
643,54,SIN,SGX,S&P CNX Nifty Index (SIMEX),2 USD,2 USD x Index,points,USD,,,20000925,,,,,,,
644,54,TX,TAIFEX,TAIEX Index,200 TWD,200 TWD x Index,points,TWD,,,20000828,,,,,,,
645,54,TXF,TAIFEX,TSEC Finance Index,10 TWD,1000 TWD x Index,points,TWD,,,20000828,,,,,,,
646,54,TXE,TAIFEX,TSEC Electronics Index,40 TWD,4000 TWD x Index,points,TWD,,,20000828,,,,,,,
648,54,SS2,SGX,Nikkei 225 Index(Floor Trading Only) (SIMEX),500 JPY,500 JPY x Index,points,JPY,,,19840104,,,,,,,
655,54,KSQ,KSE,KOSDAQ 50 Index,1000 KRW,100000 KRW x Index,points,KRW,,,20010215,,,,,,,
659,54,ATF,ADEX,Index-FTSE/ASE 20,0.05 EUR,5 EUR x Index,points,EUR,,,20010406,,,,,,,
660,54,AT4,ADEX,Index-FTSE/ASE Midcap 40,0.05 EUR,5 EUR x Index,points,EUR,,,20010406,,,,,,,
662,54,ELB,ICE,Electricity Base (IPE),0.01 GBP x contract size in MWh,0.01 GBP / MWh x 24 x days,0.01 GBP,GBP,,,20020306,,,,,,,
666,54,TU3,CBT,T-Note-U.S.  2 Yr(Floor Trading Only),6.25 USD,200000 USD,points,USD,,,19950810,,,,,,,
684,54,EMD,CME,Index-S&P Midcap 400 E-mini,1 USD,100 USD x Index,points,USD,,,20020128,,,,,,,
688,54,GI2,CME,Goldman Sachs Commodity(Floor Trading Only),2.50 USD,250 USD x Index,points,USD,,,19691231,,,,,,,
692,54,NCI,MGE,National Corn Index,6.25 USD,5000 bu,USD / bu,USD,,,20020226,,,,,,,
693,54,NSI,MGE,Soybean Index-National,6.25 USD,5000 bu,USD / bu,USD,,,20020226,,,,,,,
694,54,LC2,CME,Cattle-LiveCME(Floor Trading Only),4 USD,40000 lb,0.01 USD / lb,USD,,,19660209,,,,,,,
695,54,LH2,CME,Hogs-Lean(Floor Trading Only),4 USD,40000 lb,0.01 USD / lb,USD,,,19660301,,,,,,,
696,54,FC2,CME,Cattle-Feeder(Floor Trading Only),5 USD,50000 lb,0.01 USD / lb,USD,,,19770902,,,,,,,
698,54,XT,CME,S&P Topix 150 Index,50 JPY,5000 JPY x Index,points,JPY,,,20020320,,,,,,,
699,54,YM,CBT,DJIA Mini $5 Index,5 USD,5 USD x Index,points,USD,,,20020405,,,,,,,
711,54,SEK,CME,Swedish Krona/U.S. Dollar,20 USD,2000000 SEK,USD,USD,,,20020522,,,,,,,
712,54,NOK,CME,Norwegian Krone/U.S. Dollar,20 USD,2000000 NOR,USD,USD,,,20020522,,,,,,,
713,54,ESK,CME,Euro/Swedish Krona,12.5 SEK,125000 EUR,SEK,SEK,,,20020522,,,,,,,
714,54,ENK,CME,Euro/Norwegian Kroner,12.5 NOK,125000 EUR,NOK,NOK,,,20020522,,,,,,,
715,54,EAD,CME,Euro/Australian Dollar,12.5 AUD,125000 EUR,AUD,AUD,,,20020522,,,,,,,
716,54,ECD,CME,Euro/Canadian Dollar,2.5 CAD,125000 EUR,CAD,CAD,,,20020522,,,,,,,
717,54,CJY,CME,Canadian Dollar/Japanese Yen,2000 JPY,200000 CAD,JPY,JPY,,,20020522,,,,,,,
718,54,ACD,CME,Australian Dollar/Canadian Dollar,20 CAD,200000 AUD,CAD,CAD,,,20020523,,,,,,,
719,54,ANE,CME,Australian Dollar/New Zealand Dollar,20 NZD,200000 AUD,NZD,NZD,,,20020522,,,,,,,
720,54,AJY,CME,Australian Dollar/Japanese Yen,2000 JPY,200000 AUD,JPY,JPY,,,20020522,,,,,,,
721,54,PSF,CME,British Pound/Swiss Franc,12.5 CHF,125000 GBP,CHF,CHF,,,20020522,,,,,,,
722,54,PJY,CME,British Pound/Japanese Yen,1250 JPY,125000 GBP,JPY,JPY,,,20020522,,,,,,,
723,54,SJY,CME,Swiss Franc/Japanese Yen,250 JPY,250000 CHF,JPY,JPY,,,20020522,,,,,,,
724,54,QG,NYMEX,Natural Gas-Henry Hub e-miNY,2.50 USD,2500 mmBtu,USD / mmBtu,USD,,,19950511,,,,,,,
728,54,YA2,SFE,SPI 200 Index(w/SYCOM),2.5 AUD,25 AUD x Index,points,AUD,,,19840803,,,,,,,
729,54,LST,CME,TRAKRS Long/Short Tech II Index,0.01 USD,1 USD x Index,points,USD,,,20020801,,,,,,,
733,54,FIN,CME,SPCTR-Financial Index(Floor+Electronic Combined),1.25 USD,125 USD x S&P500 Fin Sect Index,points,USD,,,20030307,,,,,,,
734,54,TEC,CME,SPCTR-Technology Index((Floor+Electronic Combined)CME,1.25 USD,125 USD x S&P500 Tech Sect Index,points,USD,,,20030307,,,,,,,
736,54,SMC,CME,E-Mini S&P 600 Smallcap Index,1 USD,100 USD x Index,points,USD,,,20021111,,,,,,,
740,54,US8,CME,CME Dollar Index(Floor+Electronic Combined),10 USD,1000 USD x CME $ Index,points,USD,,,20030303,,,,,,,
741,54,USX,CME,CME Dollar Index(Floor Trading Only),10 USD,1000 USD x CME $ Index,points,USD,,,20030303,,,,,,,
742,54,NIF,NSI,S&P CNX Nifty Index,2 INR,100 INR x Index,points,INR,,,20030520,,,,,,,
745,54,RSS,CME,Index-Russell 1000,1 USD,100 USD x Index,points,USD,,,20030428,,,,,,,
746,54,IH,MGE,Wheat Index(Hard Winter),6.25 USD,5000 bu,0.01 USD / bu,USD,,,20030512,,,,,,,
747,54,GG,NYFE,Russell 1000 Growth Index,5 USD,500 USD x Index,points,USD,,,20030512,,,,,,,
748,54,VV,NYFE,Russell 1000 Value Index,5 USD,500 USD x Index,points,USD,,,20030512,,,,,,,
750,54,FF2,CBT,Fed Fund Rate 30 Day(Floor Trading Only),4.167 USD,5000000 USD,USD / basis point,USD,,,19881003,,,,,,,
751,54,ST2,SGX,MSCI Taiwan Index(Floor Trading Only) (SIMEX),10 USD,100 USD x Index,points,USD,,,19970109,,,,,,,
764,54,LC4,ICE,Brent Crude (IPE)(Electronic),10 USD,1000 bbl,USD / bbl,USD,,,19890228,,,,,,,
