AI,ASE Index,S & P INDUSTRY GROUPS (weekly & monthly charts only)
DI,Dow Jones Industrials,S & P INDUSTRY GROUPS (weekly & monthly charts only)
DU,Dow Jones Utilities,S & P INDUSTRY GROUPS (weekly & monthly charts only)
DC,Dow Jones Composite,S & P INDUSTRY GROUPS (weekly & monthly charts only)
NI,NYSE Index,S & P INDUSTRY GROUPS (weekly & monthly charts only)
BU,Butter (CME),"SOFTS, FOOD AND FIBER"
CC,Cocoa (ICE [NYBOT]),"SOFTS, FOOD AND FIBER"
CF,Coffee (ICE [NYBOT]),"SOFTS, FOOD AND FIBER"
CT,Cotton #2 (ICE [NYBOT]),"SOFTS, FOOD AND FIBER"
LS,Lumber (CME),"SOFTS, FOOD AND FIBER"
DL,BFP Milk (CME),"SOFTS, FOOD AND FIBER"
OJ,Orange Juice (ICE [NYBOT]),"SOFTS, FOOD AND FIBER"
SU,Sugar #11 (ICE [NYBOT]),"SOFTS, FOOD AND FIBER"
SE,Sugar #14 (delisted by exchange) (ICE [NYBOT]),"SOFTS, FOOD AND FIBER"
SD,Sugar #16 (ICE [NYBOT]),"SOFTS, FOOD AND FIBER"
AA,Amex 10 Most Active,STOCK MARKET STATISTICS
AV,Amex 10 Most Active Volume,STOCK MARKET STATISTICS
