@GT16,GSPA - S&P Health Care Sector
@GS52,GSPAC - S&P Air Freight & Couriers
@GS30,GSPAED - S&P Aerospace & Defense
@GS25,GSPAFP - S&P Paper & Forest Products
@GS54,GSPALI - S&P Airlines
@GS21,GSPALUM - S&P Aluminium
@GU3,GSPAMCB - S&P SI Asset Mgmt&Custody Bnks
@GS70,GSPAPPL - S&P Household Appliances
@GS59,GSPAU - S&P Automobiles & Components
@GS60,GSPAUC - S&P Auto Components
@GS64,GSPAUTM - S&P Automobile Manufacturers
@GS63,GSPAUTO - S&P Automobiles
@GS61,GSPAUTP - S&P Auto Parts & Equip
@GT89,GSPAUTR - S&P Automotive Retail
@GT4,GSPBEVA - S&P Beverages (Alcohol)
@GT6,GSPBEVS - S&P Beverages (Non-Alco)
@GT26,GSPBIOT - S&P Biotechnology
@GT30,GSPBK - S&P Banks
@GT78,GSPBKS - S&P Ind Commercial Banks
@GT8,GSPBMAG - S&P Agricultural Products
@GT98,GSPBNKS - S&P SI Regional Banks
@GS31,GSPBUI - S&P Building Products
@GS32,GSPBULD - S&P Building Materials
@GT3,GSPBVGS - S&P Beverages
@GT28,GSPCARD - S&P Health Care (Drugs- Major
@GT97,GSPCARE - S&P SI Health Care Svcs
@GT27,GSPCARG - S&P Health Care (Drugs-Generic
@GS83,GSPCCAM - S&P Services (Advertising/Mark
@GS93,GSPCCCE - S&P Retail (Computers & Electr
@GS79,"GSPCCGL - S&P Gaming, Lottery & Parimutu"
@GS95,GSPCCRS - S&P Retail (Specialty)
@GS16,GSPCEMT - S&P Construct (Cement & Aggreg
@GT81,GSPCFI - S&P Ind Consumer Finance
@GT85,GSPCHFA - S&P SI Fertilizers&Agri Chem
@GT82,GSPCMK - S&P Ind Capital Markets
@GT48,GSPCMSF - S&P Computers (Software&Svc)
@GT51,GSPCOEQ - S&P Communications Equipment
@GS15,GSPCOM - S&P Construction Materials
@GT53,GSPCOMM - S&P Communications Equip
@GT55,GSPCOMP - S&P Computers (Hardware)
@GT15,GSPCOMS - S&P Personal Care
@GS18,GSPCONM - S&P Containers (Metl&Glas)
@GS19,GSPCONP - S&P Contain & Pack (paper)
@GS34,GSPCONT - S&P Engineer & Construct
@GS17,GSPCOP - S&P Containers & Packaging
@GT54,GSPCOPE - S&P Computers & Peripherals
@GS43,GSPCS - S&P Communications Services
@GT67,GSPCSCP - S&P Telecommunications (Cellul
@GS33,GSPCSE - S&P Construction & Engineering
@GS44,GSPCSS - S&P Commercial Services & Suppl
@GS58,GSPD - S&P Consumer Discretionary
@GT93,GSPDCS S&P Diver Consumer Services
@GT32,GSPDF - S&P Diversified Financials
@GT80,GSPDIFN - S&P Ind Divers Fincl Svcs
@GT5,GSPDSVN - S&P Distillers & Vintners
@GT64,GSPDTES - S&P Diversified Telecommunicat
@GT76,GSPDVFS S&P Div Finan
@GS1,GSPE - S&P Energy
@GT92,GSPEDUS S&P Education Services
@GU9,GSPEEIS - S&P SI Elect Equip Manu
@GT87,GSPELCE - S&P SI Elect. Comp. & Equip
@GT59,GSPELCI - S&P Electronics (Instrument)
@GT62,GSPELCS - S&P Electronics (Semicond)
@GT70,GSPELEC - S&P Electric Companies
@GT57,GSPELEQ - S&P Electronic Equipment & Ins
@GU10,GSPELMS - S&P SI Elect Manu Svcs
@GS35,GSPELQ - S&P Electrical Equipment
@GT69,GSPELUT - S&P Electric Utilities
@GS2,GSPEN - S&P Energy Sector
@GS9,GSPENRM - S&P Oil & Gas (Refining & Mark
@GS3,GSPENS - S&P Energy Equipment & Services
@GS85,GSPENTE - S&P Entertainment
@GU8,GSPENTS - S&P SI Home Ent. S/W
@GS98,GSPETR - S&P Retail (Drug Stores)
@GT29,GSPF - S&P FINANCIAL
@GT2,GSPFBT - S&P Food Beverage & Tobacco
@GS97,GSPFD - S&P Food & Drug Retailing
@GT7,GSPFDPR - S&P Food Products
@GS99,GSPFODW - S&P Distributors (Food & Healt
@GT9,GSPFOOD - S&P Foods
@GS26,GSPFRPD - S&P Forest Products
@GS68,GSPFURN - S&P Household Furn. & Applianc
@GT71,GSPGAUT - S&P Gas Utilities
@GS23,GSPGOLD - S&P Gold & Precious Metals Min
@GT17,GSPHC - S&P Health Care Equipment & Serv
@GT18,GSPHCEQ - S&P Health Care Equipment & Su
@GT23,GSPHCLT - S&P Health Care (Long Term Car
@GT21,GSPHCPS - S&P Health Care Providers & Se
@GT22,GSPHCSS - S&P Health Care (Specialized S
@GS67,GSPHHD - S&P Household Durables
@GT11,GSPHHPE - S&P Household & Personal Produ
@GT24,GSPHMO - S&P Managed Health Care
@GT91,GSPHMRT S&P Homefurnishing Retail
@GS69,GSPHOME - S&P Homebuilding
@GT12,GSPHOPR - S&P Household Products
@GS80,GSPHOTL - S&P Lodging-Hotels
@GS78,GSPHR - S&P Hotels Restaurants & Leisure
@GS71,GSPHWAR - S&P Housewares
@GT96,GSPHYSC - S&P SI Hypermkts & Super Cntrs
@GS28,GSPI - S&P Industrials
@GS29,GSPIC - S&P Capital Goods
@GS36,GSPICON - S&P Industrial Conglomerates
@GS40,GSPINDM - S&P Industrial Machinery
@GT39,GSPINPC - S&P Insurance (Property-Casual
@GT77,GSPINR - S&P Ind Internet & Cat Retail
@GT95,GSPINRT - S&P SI Internet Retail
@GT35,GSPINSC - S&P Insurance
@GT38,GSPINSM - S&P Insurance (Multi-Line)
@GU7,GSPINSS - S&P SI Internet S/W & Svcs
@GT36,GSPINSU - S&P Insurance Brokers
@GT44,GSPINTS - S&P Internet Software & Servic
@GU4,GSPINVB - S&P SI Inv Banking & Brokerage
@GT43,GSPIS - S&P Software & Services
@GT45,GSPITCS - S&P IT Consulting & Services
@GT63,GSPL - S&P Telecommunication Services
@GS72,GSPLEP - S&P Leisure Equipment & Product
@GT37,GSPLIFE - S&P Insurance (Life/Health)
@GS66,GSPLP - S&P Consumer Durables & Apparel
@GS10,GSPM - S&P Materials
@GS38,GSPMAC - S&P Machinery
@GS37,GSPMAND - S&P Manufacturing (Diversified
@GS39,GSPMCHD - S&P Machinery (Diversified)
@GS82,GSPME - S&P Media
@GT19,GSPMED - S&P Health Care (Medical Produc
@GS84,"GSPMEDA - S&P Broadcasting (TV,Rad,M"
@GS22,GSPMETL - S&P Metals Mining
@GS65,GSPMOTR - S&P Motorcycle Manufacturers
@GS87,GSPMS - S&P Retailing
@GS20,GSPMTM - S&P Metals & Mining
@GS88,GSPMULR - S&P Multiline Retail
@GT73,GSPMUUT - S&P Multi-Utilities
@GT72,GSPNGAS - S&P Natural Gas
@GT58,GSPOFEL - S&P Office Electronics
@GS50,GSPOFFS - S&P Office Equipment & Supplie
@GS6,GSPOIG - S&P Oil & Gas
@GS4,GSPOILD - S&P Oil (Domestic Integrated)
@GS7,GSPOILI - S&P Oil (International Integra
@GS8,GSPOILP - S&P Oil & Gas (Exploration & P
@GT88,GSPOILS - S&P Oil and Gas Storage and Tr
@GS5,GSPOILW - S&P Oil & Gas (Drilling & Equi
@GS27,GSPPAPR - S&P Paper & Forest Products
@GT14,GSPPEPR - S&P Personal Products
@GT33,GSPPERS - S&P Consumer Finance
@GT25,GSPPHB - S&P Pharmaceuticals & Biotechno
@GS11,GSPPM - S&P Chemicals Composite
@GT74,GSPPPIN - S&P Power Producers (Independe
@GS45,GSPPRNT - S&P Specialty Printing
@GT13,GSPPROD - S&P Household Products (Non-Du
@GS49,GSPPROP - S&P Waste Management
@GS86,GSPPUBL - S&P Publishing
@GS56,GSPRAIL - S&P Railroads
@GS55,GSPRAR - S&P Road & Rail
@GT31,GSPRBNK - S&P Banks (Major Regional)
@GT40,GSPREC - S&P Real Estate
@GT41,GSPREITS - S&P Real Estate Investment Tr
@GS81,GSPREST - S&P Restaurants
@GS92,GSPRETA - S&P Retail (Specialty-Apparel)
@GS89,GSPRETD - S&P Retail (Department Stores)
@GT1,GSPRETF - S&P Retail (Food Chains)
@GS90,GSPRETM - S&P Retail (General Merchandis
@GS94,GSPRETS - S&P Retail (Building Supplies)
@GS96,GSPS - S&P Consumer Staples
@GT90,GSPSCSV S&P Spec Consumer Service
@GS57,GSPSE - S&P IG Semiconductors & Equip.
@GT60,GSPSEQP - S&P Semiconductor Equipment &
@GS77,GSPSHOE - S&P Footwear
@GS74,GSPSHOT - S&P Photography/Imaging
@GT47,GSPSOFW - S&P Software
@GU2,GSPSPFI - S&P SI Spec Finance
