^P14,P1ENE - DJ PACIFIC ENERGY INDEX
^P15,P1FIN - DJ PACIFIC FINANCIAL INDEX
^P16,P1IDU - DJ PACIFIC INDUSTRIAL INDEX
^P17,P1NCY - DJ PACIFIC CONSUMER NON-CYCLICAL
^P110,P1TEC - DJ PACIFIC TECHNOLOGY INDEX
^P111,P1UTI - DJ PACIFIC UTILITIES INDEX
^P21,P2BSC - DJ PACIFIC (EX JPN) BASIC MATERI
^P22,P2CYC - DJ PACIFIC (EX JPN) CONSUMER CYC
^P23,P2DOW - DJ PACIFIC INDEX (EXCL JAPAN)
^P24,P2ENE - DJ PACIFIC (EX JPN) ENERGY INDEX
^P25,P2FIN - DJ PACIFIC (EX JPN) FINANCIAL IN
^P26,P2IDU - DJ PACIFIC (EX JPN) INDUSTRIAL I
^P27,P2NCY - DJ PACIFIC (EX JPN) CONSUMER NON
^P28,P2TEC - DJ PACIFIC (EX JPN) TECHNOLOGY I
^P29,P2UTI - DJ PACIFIC (EX JPN) UTILITIES IN
^P31,P3DOW - DJ SOUTHEAST ASIA STOCK INDEX
^KSE,Pakistan Karachi 100 Index
^IGRA,Peru Lima General Index
^PH1,PHDOW - DJ PHILIPPINES STOCK INDEX
^PH2,PHDOWD - DJ PHILIPPINES STOCK INDEX USD
^PSI,Philippines PSE Composite Index
^PTX,Polish Index
^PTXE,Polish Index Euro
^PSI20,PSI 20 (Portugal)
^PT1,PTDOW - DJ PORTUGAL STOCK INDEX
^PT2,PTDOWD - DJ PORTUGAL STOCK INDEX USD
^MTMS,Russia Moscow Times Index
^RUX,Russian Indust Index
^RTS,Russian Trading System Index
^GSPC,S&P 500 (USA)
^LA40,S&P Latin America 40
^SPMIB,S&P Mib (Italy)
^GSPTSE,S&P TSX Composite (Canada)
^AXJO,S&P/ASX 200
^SPTD,S&P/Topix USD
^SPT,S&P/Topix Yen
^S120,SBF 120
^S250,SBF 250
^S80,SBF 80
^SE1,SEDOW - DJ SWEDEN STOCK INDEX
^SE2,SEDOWD - DJ SWEDEN STOCK INDEX USD
^SG1,SGDOW - DJ SINGAPORE STOCK INDEX
^SG2,SGDOWD - DJ SINGAPORE STOCK INDEX USD
000001.SS,Shanghai Composite (China)
^STI,Singapore Straits Times Index
^SAX,Slovakia SAX Index
^KS11,South Korea Seoul Composite Index
^IBEX,Spain IBEX 35 Index
^CSE,Sri Lanka All Share Index
^SSM2,Swiss Market Index
^SSMI,Swiss Market Index
^ESM,Swiss Mid-Cap
^TA100,TA-100 (Israel)
^TWII,Taiwan Weighted Index
^TECD,TecDAX Performance Index
^TECP,TecDAX Price Index
^S50,Thailand Set 50 Index
^SETI,Thailand SET Index
^TH1,THDOW - DJ THAILAND STOCK INDEX
^TH2,THDOWD - DJ THAILAND STOCK INDEX USD
^TOPX,Tokyo Topix
^JTI,Topix
^T100,Topix 100
^JNW,Topix 300
^JTI2,Topix Index
^OSEAX,Total Share (Norway)
^TXMX,TSE S&P Completion Index
^TXSX,TSE S&P Smallcap Index
^XU10,Turkey ISE National 100
^TW1,TWDOW - DJ TAIWAN STOCK INDEX
^TW2,TWDOWD - DJ TAIWAN STOCK INDEX USD
^IBC,Venezuela IBC Index
^EVS,VSTOXX
^W11,W1BSC - DJ WORLD BASIC MATERIALS INDEX
^W12,W1CYC - DJ WORLD CONSUMER CYCLICALS INDE
^W13,W1DOW - DJ WORLD STOCK INDEX
^W14,W1ENE - DJ WORLD ENERGY INDEX
^W15,W1FIN - DJ WORLD FINANCIAL INDEX
^W16,W1IDU - DJ WORLD INDUSTRIAL INDEX
^W17,W1NCY - DJ WORLD CONSUMER NON-CYCLICALS
^W18,W1SGI - DJ WORLD GROUP INDEX COMPOSITE
^W19,W1SUS - DJ WORLD GROUP INDEX excl TOB/AL
^W110,W1TEC - DJ WORLD TECHNOLOGY INDEX
^W111,W1UTI - DJ WORLD UTILITIES INDEX
^W21,W2BSC - DJ WORLD (EX US) BASIC MATERIALS
^W22,W2CYC - DJ WORLD (EX US) CONSUMER CYCLIC
^W23,W2DOW - DJ WORLD STOCK INDEX (EXCL US)
^W24,W2ENE - DJ WORLD (EX US) ENERGY INDEX
^W25,W2FIN - DJ WORLD (EX US) FINANCIAL INDEX
^W26,W2IDU - DJ WORLD (EX US) INDUSTRIAL INDE
^W27,W2NCY - DJ WORLD (EX US) CONSUMER NON-CY
^W28,W2TEC - DJ WORLD (EX US) TECHNOLOGY INDE
^W29,W2UTI - DJ WORLD (EX US) UTILITIES INDEX
^XL1,XLAUS - DJ AUSTRALIA EXTRA LIQUID INDEX
^ZA1,ZADOW - DJ SOUTH AFRICA STOCK INDEX
^ZA2,ZADOWD - DJ SOUTH AFRICA STOCK INDEX USD
