CSI#,,SYMBOL,EXCHANGE,NAME,POINT VALUE,CONTRACT SIZE,UNIT OF MEASURE,CURRENCY,,,START DATE,,,STRIKE DIV EXP,,,
589,,EMA,EURONEXT,Corn (MATIF),0.50 EUR,50 tonnes,EUR / tonne,EUR,,,20080625,,,1,,
649,,HMH,HKEX,Hang Seng Index-Mini (HKFE),10 HKD,10 HKD x Index,points,HKD,,,20080829,,,-1,,
658,,FBS,EURONEXT,Swap Note Euro-2 Yr (LIFFE),1 EUR,100000 EUR,points,EUR,,,20020424,,,2,,
668,,RM2,NYFE,Mini-Russell 1000 Index (Floor Only),1 USD,100 USD x Index,points,USD,,,20081009,,,0,,
669,,QL,NYMEX,Coal-Central Appalachian,15.50 USD,1550 tons,USD / ton,USD,,,20090910,,,1,,
677,,ER2,CME,Index-E-Mini Russell 2000,1 USD,100 USD x Index,points,USD,,,20070302,,,1,,
684,,EMD,CME,Index-S&P Midcap 400 E-mini,1 USD,100 USD x Index,points,USD,,,20070823,,,1,,
736,,SMC,CME,E-Mini S&P 600 Smallcap Index,1 USD,100 USD x Index,points,USD,,,20080728,,,0,,
747,,GG,NYFE,Russell 1000 Growth Index,5 USD,500 USD x Index,points,USD,,,20030520,,,0,,
748,,VV,NYFE,Russell 1000 Value Index,5 USD,500 USD x Index,points,USD,,,20030520,,,0,,
778,,YU,NYFE,NYSE Composite Index-Revised,0.50 USD,50 USD x Index,points,USD,,,20031001,,,0,,
795,,HCE,HKEX,Hang Seng China Enterprises Index (HKFE),50 HKD,50 HKD x Index,points,HKD,,,20080829,,,-1,,
811,,AON,NYMEX,Crude Oil Average Price Options,10 USD,1000 bbl,USD / bbl,USD,,,20080312,,,2,,
812,,ATN,NYMEX,Heating Oil Average Price Options,4.20 USD,42000 gal,USD / gal,USD,,,20080312,,,3,,
813,,RAN,NYMEX,RBOB Average Price Options,4.20 USD,42000 gal,USD / gal,USD,,,20080312,,,3,,
814,,RJN,NYMEX,Carbon RGGI Emissions,10 USD,1000 RGGI CO2 Allowance,USD / Allowance,USD,,,20080825,,,0,,
816,,LRC,EURONEXT,Robusta Coffee New (LCE),10 USD,10 tonnes,USD / tonne,USD,,,20080904,,,0,,
818,,TF2,NYFE,Mini-Russell 2000,1 USD,100 USD x Index,points,USD,,,20081014,,,0,,
832,,RSU,EURONEXT,Sugar-Raw  (LCE),11.20 USD,50 long tons,0.01 USD / lb,USD,,,20070329,,,0,,
842,,EV,CME,S&P 500 EOM,2.50 USD,250 USD x Index,points,USD,,,20070620,,,0,,
843,,EW,CME,E-Mini S&P 500 EOM,0.50 USD,50 USD x Index,points,USD,,,20070620,,,0,,
844,,TO,NYFE,Russell 2000 (Floor Trading Only),5 USD,500 USD x Index,points,USD,,,20070820,,,0,,
845,,LNN,CLEAR,Natural Gas (Financial Settle Euro-Style Options),1 USD,10000 mmBtu,USD / mmBtu,USD,,,20071008,,,2,,
846,,LCN,CLEAR,Crude Oil (Financial Settle Euro-Style Options),10 USD,1000 bbl,USD / bbl,USD,,,20071008,,,1,,
847,,LBN,CLEAR,Heating Oil (Financial Settle Euro-Style Options),4.20 USD,42000 gal,USD / gal,USD,,,20071008,,,3,,
848,,RFN,CLEAR,RBOB (Financial Settle Euro-Style Options),4.20 USD,42000 gal,USD / gal,USD,,,20071008,,,3,,
863,,SI1,GLBX,Silver (Electronic Only; Last in Settle),5 USD,5000 oz,0.01 USD / oz,USD,,,19841004,,,0,,
864,,HG1,GLBX,Copper (Electronic Only; Last in Settle),2.50 USD,25000 lb,USD / lb,USD,,,19880729,,,0,,
871,,IRC,ICE,Coffee-Robusta  (IPE),3.75 USD,37500 lb,0.01 USD / lb,USD,,,20071009,,,0,,
916,,JM,NYMEX,Electricity PJM (Floor Trading Only),0.01 USD x contract size,19 days-760 MWh / 20 days-800 MWh / 21 days-840 MWh / 22 days-880 MWh / 23 days-920 MWh,USD / MWh,USD,,,20080312,,,2,,
917,,EDD,EURONEXT,Eurodollar (LIFFE),2.50 USD,1000000 USD,points,USD,,,20040318,,,2,,
961,,P,NYCE,Pulp,0.20 USD,20 tonnes,USD / tonne,USD,,,20050307,,,0,,
970,,CRB,NYFE,Reuters Jefferies CRB Index,2 USD,200 USD x Index,points,USD,,,20050713,,,0,,
975,,RB,NYMEX,Gasoline-Reformulated Blendstock(Floor),4.20 USD,42000 gal,USD / gal,USD,,,20060823,,,3,,
980,,CFI,ICE,ECX EUA Emissions (IPE),10 EUR,1000 tonnes,EUR / tonne,EUR,,,20080327,,,0,,
981,,FS1,EURONEXT,Sterling Future(3 Month) (LIFFE),1.25 GBP,1 3-Month Future,points,GBP,,,20051208,,,2,,
982,,FE1,EURONEXT,Mid-Curve Euribor Options(1 Year) (LIFFE),2.5 EUR,1 3-month Future,points,EUR,,,20051208,,,2,,
991,,ICL,ICE,Crude Oil-WTI,10 USD,1000 bbl,USD / bbl,USD,,,20080327,,,0,,
5230,,OEX,CBOE,S&P 100 Index CBOE,,,,USD,,,19830322,,,0
5267,,JPN,CBOE,Japan Index AMEX,,,,USD,,,19900927,,,0
5354,,XMI,CBOE,Major Market Index AMEX,,,,USD,,,19850102,,,0
5367,,XCI,CBOE,Computer Technology Index AMEX,,,,USD,,,19910905,,,0
5368,,XOI,CBOE,Oil & Gas Index AMEX,,,,USD,,,19910905,,,0
5373,,UTY,CBOE,Utility Index PHLX,,,,USD,,,19910905,,,0
5467,,MNX,CBOE,Mini-NASDAQ 100 Index CBOE,,,,USD,,,20000814,,,0
5473,,XAU,CBOE,Gold & Silver Index PHLX,,,,USD,,,19850102,,,0
5491,,NDX,CBOE,NASDAQ 100 Index CBOE,,,,USD,,,19960604,,,0
5499,,DJIA,CBOE,Dow Jones Industrial Average CBOE,,,,USD,,,19971006,,,-1
5676,,SPX,CBOE,S&P 500 Index CBOE,,,,USD,,,19900608,,,0
13284,,DIA,CBOE,Diamonds Trust AMEX,,,,USD,,,20040105,,,2
13341,,QQQQ,CBOE,Powershares QQQ AMEX,,,,USD,,,20020919,,,2
13522,,OEF,CBOE,Ishares S&P 100 Index Fund AMEX,,,,USD,,,20040105,,,2
