3IN.L,3I Infrastructure
BPM.L,B.P. Marsh & Partners
BPO.L,British Portfolio Trust
BPW.L,BLUE PLANET FIN
BQE.L,Bioquell Plc
BQS.L,Baqus Group
BRAL.L,Bramdean Alternatives
BRAM.L,Brammer plc
BRBY.L,BURBERRY GRP PLC ORD 0.05P
BRCI.L,BlackRock Comms Income Inv Tst
BRE.L,BRIT INSURANCE HOLDINGS PLC
BRG.L,Braemar Group
BRGE.L,Blackrock Latin Amer
BRH.L,Braveheart Investment Group
BRIC.L,Ishares FTSE Bric 50
BRK.L,BROOKS MACDONALD
BRNE.L,Blackrock NE Eng
BRSC.L,Blackrock Smaller Co
BRST.L,Burst Media Corporation
BRT.L,BRIGHTSIDE GROUP
BRU.L,Brulines (Holdings
BRW.L,Brewin Dolphin Holdings plc
BRWM.L,Blackrock World Mining
BRWV.L,BEDFORD ROW
BRY.L,Brady
BSET.L,British Assets Trust
BSST.L,Bluestar Secutech
BST.L,BR SMLR VCT2
BSY.L,British Sky Broadcasting plc
BTC.L,Baltic Oil Terminals
BTEM.L,Br. Empire Tst
BTSM.L,BSS Group plc
BVC.L,Batm Advanced Comm
BVIC.L,BRITVIC WI
BVM.L,Belgravium Tech
BVS.L,Bovis Homes
BVT.L,Baronsmead
BWNG.L,Brown (N) Group plc
BWY.L,Bellway plc
BYG.L,BIG YELLOW GRP
BYOT.L,BYOTROL
C21.L,21st Century Technology
CAD.L,Cadogan Petroleum
CAE.L,CHARTERIS PLC ORD 1P
CAL.L,CAP & REGIONAL
CAM.L,CAMELLIA
CAO.L,Camco International
CAP.L,Clean Air Power
CAR.L,CARCLO
CARE.L,Carecapital Group
CARL.L,Carluccio's
CAU.L,CENTAUR HOLDINGS GB
CAY.L,Charles Stanley
CAZA.L,Caza Oil & Gas
CB.L,COMM BROKING GRP
CBAY.L,CBaySystems Holdings
CBF.L,COBRA BIO MANU
CBG.L,Close Brothers Group plc
CBI.L,China Biodiesel Intl Holding
CBOX.L,Cashbox
CBRY.L,Cadbury Schweppes plc
CBX.L,CUBUS LUX GB
CC.L,Clinton Cards plc
CCAP.L,Charlemagne Capital
CCC.L,Computacenter
CCL.L,CARNIVAL
CCP.L,Celtic plc
CCR.L,C&C GROUP IE
CCS.L,CLARITY COMMERCE SOLUT ORD 25P
CDFF.L,Cardiff Prop.
CDG.L,CONROY DIAMONDS & GOLD PLC ORD
CDN.L,CALEDON RES
CDO.L,Carador
CDS.L,CDS OIL & GAS
CDY.L,CASSIDY BROS
CEAF.L,Close European Accelerated Fund
CEB.L,Clean Energy Brazil
CED.L,CLOSE ENHANCED
CEO.L,Coastal Energy Company
CEPS.L,CEPS
CESG.L,China Eastsea Business Software
CF.L,CANACCORD FIN
CFC.L,China Food Co
CFL.L,Contentfilm
CFU.L,Ceramic Fuel Cells
CFX.L,COLEFAX GROUP
CFYN.L,Caffyns
CGG.L,COBURG GROUP
CGL.L,Catlin Group
CGM.L,CHINA GOLDMINES
CGOP.L,CHINA GRTH OPP
CGS.L,Castings plc
CGT.L,Capital Gearing
CHG.L,Chemring Group plc
CHH.L,Churchill China plc
CHI.L,CLOSE HIGH PROP
CHLD.L,Chloride Group plc
CHNS.L,China Shoto
CHRT.L,Cohort
CHS.L,Chrysalis Group plc
CHT.L,Company Health
CHTR.L,CHARTER INTL
CHU.L,Chaucer Holdings
CHW.L,Chime Communication PLC
CHWI.L,China Western Investments
CHX.L,Chromex Mining
CIN.L,City Lon. Pr. Group
CINE.L,Cineworld Group
CINP.L,Cinpart
CIU.L,CAPE
CKN.L,Clarkson (Horace) plc
CKSN.L,COOKSON GROUP
CLC.L,Clinical Comp.
CLDN.L,Caledonia Investments plc
CLE.L,Climate Exchange
CLEA.L,Cleardebt Group
CLF.L,Cluff Gold
CLI.L,CLS Holdings plc
CLIG.L,City of London Investment Group
CLKH.L,Clarkson Hill Group (The)
CLL.L,Cello Group
CLLN.L,Carillion plc ord 50p
CLN.L,CARLTON RESOURS
CLS.L,CHEERFUL SCOUT PLC ORD 0.5P
CLST.L,Collins Stewart Tullett PLC
CLTV.L,Cellcast
CMAE.L,CMA Global Hedge PCC
CMG.L,Croma Group
CMH.L,Chamberlin plc
CMIP.L,Capital Management & Investment
CML.L,CML Microsystems plc
CMM.L,Commoditrade Inc
CMS.L,Communisis
CMX.L,Catalyst Med Group
CN.L,CANISP PLC GB
CNA.L,Centrica plc
CNC.L,CONCURRENT
CNE.L,Cairn Energy plc
CNKS.L,Cenkos Securities
CNMI.L,Camper & Nicholsons Marina Inv
CNN.L,CALEDONLAN TRUST PLC ORD 20P
CNR.L,Condor Resources
CNT.L,Connaught Plc Ord 10p
COB.L,Cobham plc
COE.L,Coe Group
COH.L,COFFEEHEAVEN INT
COL.L,Colliers Cre
COLT.L,Colt Telecom
COMS.L,Coms
CON.L,Connemara Mining Company
COO.L,Coolabi
COP.L,CIRCLE OIL IE
CORE.L,Core Business (The)
CORO.L,Corero
COST.L,Costain Group plc
CPC.L,CAPCON HOLDINGS
CPE.L,CHARTER PAN-EUROPEAN TRUST PLC ORD 1P
CPG.L,Compass Group plc
CPH.L,CLAPHAM HOUSE GRP
CPI.L,Capita Group plc
CPL.L,Chapelthorpe plc ord 5p
CPR.L,Carpetright plc
CPS.L,CPL RESOURCES ORDINARY SHARE
CPSP.L,Clyde Process
CPUB.L,Capital Pub Company
CPW.L,Carphone Warehouse
CPX.L,Cap-XX
CRA.L,CORAC GROUP PLC ORD 10P
CRAW.L,Crawshaw Group
CRDA.L,Croda Int'l plc
CREO.L,China Real Estate Opportunities
CRF.L,Ciref
CRH.L,CRH PLC ORD EUR 0.32
CRHL.L,CREAT RESOURCES
CRK.L,Clerkenwell Ventures
CRL.L,Creightons
CRM.L,Carrs Mill.
CRND.L,Central Rand Gold
CRO.L,Creon Corporation
CROP.L,Ceres Agriculture Fund Ld
CRPR.L,Cropper (James) plc
CRU.L,Coral Products plc
CRW.L,CRANEWARE
CRWN.L,Crown Place Vct
CRX.L,CYPROTEX
CSC.L,CSCAPE GRP
CSH.L,CASPAIN HOLDING GB
CSLT.L,Cosalt plc
CSN.L,Chesnara
CSR.L,CSR
CSRT.L,Consort Medical
CSS.L,CSSSTELLAR PLC ORD
CSU.L,Close Assets Funds
CTG.L,Christie Group
CTI.L,Cathay International Holdings
CTN.L,Clearstream Technologies Group
CTO.L,Clarke T.
CTR.L,Charles Taylor
CTS.L,Catalytic Solutions
CTY.L,CITY OF LONDON INVESTMENT TRUST PLC
CUK.L,Care UK plc
CUS.L,Custom Vis
CVH.L,CAVANAGH GROUP
CW.L,Cable & Wireless plc
CWK.L,Cranswick plc
CWO.L,China Wonder
CWP.L,CLIPPER WPR WI
CWR.L,Ceres Power Holdings
CYAN.L,Cyan Holdings
CYH.L,CYBIT HLDINGS
CYN.L,City National
CYS.L,Chrysalis Vct
CZA.L,Coal Of Africa
DA1O.L,DOWNI ABSO VCT
DAN.L,DANIEL STEWART GB
DATA.L,DATACASH GROUP
DAV.L,DAVENHAM
DAY.L,DAISY GROUP
DCC.L,DCC Plc
DCD.L,DCD Media
DCG.L,Dairy Crest Group
DCI.L,DOLPHIN CAP INV
DCL.L,DEXION COM EUR
DCP.L,DiamondCorp
DDD.L,DDD GROUP
DDE.L,Develica Deutschland
DDIT.L,DIRECTORS INV
DDT.L,Dimension Data
DEA.L,Dexion Eq Alt
DEB.L,Debenhams (WI)
DEMG.L,DELTEX MEDICAL
DEO.L,Deo Petroleum
DES.L,Desire Petroleum Plc Ord 1p
DGE.L,Diageo Plc
DGO.L,Dragon Oil
DIA.L,Dialight
DIGI.L,Digital Marketing Group
DISL.L,Discover Leisure
DIWO.L,Direct Wonen N.V.
DJAN.L,Daejan Holdings plc
DL.L,DEALOGIC HLDGS GB
DLAR.L,De La Rue plc
DLC.L,Delcam PLC
DLN.L,Derwent London
DLTA.L,Delta plc
DME.L,Discovery Metals
DMG.L,DORI MEDIA GRP
DMGO.L,Daily Mail and General Trust plc
DMGT.L,Daily Mail & General Trust A
DMP.L,DM Plc
DNDL.L,Dunedin Small
DNE.L,Dunedin Ent. I.T.
DNLM.L,Dunelm Group
DNO.L,Domino Printing Sciences plc
DNX.L,Dana Petroleum
DOM.L,DOMINO'S PIZZA
DOO.L,D1 OILS GB
DPH.L,DECHRA PHARMACEUTICALS PLC ORD
DPL.L,Dominion Petroleum
DPLM.L,Diploma plc
DPV2.L,DOWNING PLANN
DQE.L,DQ Entertainment
DRG.L,DRAGANFLY INV
DRS.L,DRS Data & Mngt
DRV.L,DRIVER GROUP
DRX.L,DRAX GROUP
DSC.L,Development Securities plc
DSG.L,Dillistone Group
DSGI.L,DSG Intl
DSN.L,Densitron Technologies
DTE.L,DATONG ELECTRON
DTG.L,Dart Group plc
DTL.L,DEXION TRADING
DTY.L,DIGNITY (WI) GB
DTZ.L,DTZ HOLDINGS
DUPD.L,Dragon-Ukrainian Prop. & Dev
DVO.L,Devro Int'l plc
DVSG.L,Davis Service Group plc
DVW.L,Dee Valley Group
DWHA.L,Dewhurst 'A'
DWHT.L,Dewhurst plc
DWSN.L,Dawson Int'l plc
E2V.L,E2V Technologies
EAGA.L,Eaga
EAH.L,Eco Animal Health
EAT.L,Euro. Assets
EBG.L,Energybuild Group
EBP.L,EQUEST BALK PRP
EBQ.L,EBIQUITY
ECDC.L,European Convergence Dev. Co
ECIT.L,Electric Inv
ECK.L,ECKOH TECHNOLOGIES PLC ORD
ECM.L,Electrocomponents plc Ord 10p
ECV.L,Eco City Vehicles
ECW.L,ECOFIN WPO 0.1P
EDA.L,Endace
EDD.L,Education Dev Intl
EDIN.L,Edinburgh Investment Trust
EDP.L,Electronic Data Processing plc
EEE.L,ENGEL EAST EUR
EEP.L,Eastern European Property
EFM.L,EFM Dragon Trust
EGS.L,EG SOLUTIONS
EGX.L,Energetix Group
EHP.L,Epistem Holdings
EIB.L,Equest Investments Balkans
EIH.L,EIH
EIT.L,Eagle Eye Telematics
EKT.L,Elektron
ELCO.L,Eleco Holdings
ELE.L,ELECTRIC WORD PLC ORD 1P
ELM.L,Elementis
EME.L,Empyrean Energy
EMED.L,EMED Mining Public
EMG.L,Man (E D & F) Group plc
EMR.L,EMPRESARIA GROUP GB
ENF.L,Enfis Group
ENG.L,Hend. El. & Gen. I.T.
ENGI.L,ENERGISER INVE
ENI.L,Edinburgh New Income Trust
ENK.L,EUROPEAN NICKEL GB
ENRC.L,Eurasian Natural Resources Corp
ENRT.L,ENV Recycling TC
ENV.L,Enova Systems
EO.L,Encore Oil
EOG.L,Europa Oil & Gas
EPG.L,EP Global OP Test
EPO.L,EARTHPORT
EQQQ.L,NASDAQ-100 EUROPEAN TRACKER SHS NPV
ERE.L,EREDENE CAPITAL
ERM.L,Euromoney Publications plc
EROS.L,Eros International
ERU.L,ERUMA
ESR.L,ENSOR HOLDINGS
EST.L,East European Trust
ET.L,Establishment Investment Trust
ETC.L,ET-china.com International Hldgs
ETI.L,Enterprise Inns
ETO.L,Entertainment One
ETQ.L,Energy Tech.
EUA.L,EURASIA MINING PLC ORD 5P
EUE.L,iSHARES DJ EURO STOXX 50
EUN.L,iSHARES DJ STOXX 50
EUS.L,Edin US Tracker
EVG.L,EVOLUTION GROUP PLC ORD 1P
EVT.L,EUROVESTECH
EWI.L,Edin. Wwide Inv.
EXC.L,EXC PLC GB
