3IN.L,3I Infrastructure
TIG.L,INNOVATION GRP PLC ORD 2P
TIGT.L,TROY INC & GRW
TIK.L,TIKIT GROUP
TIL.L,Tembusu Investments
TIME.L,Timestrip
TIR.L,TIGER RESOURCE
TLDH.L,TOP LEVEL DOMAIN
TLI.L,Alternative Asset Opps PCC
TLPR.L,Tullett Prebon
TLT.L,TOLENT
TLW.L,Tullow Oil
TLY.L,TOTALLY
TMC.L,TOLEDO MINING GB
TMMG.L,The Mission Marketing Group
TMP.L,Templar Minerals
TMPL.L,Temple Bar
TMZ.L,TOUMAZ HLD
TND.L,TANDEM GROUP
TNG.L,Tangent Comm
TNI.L,Trinity Int'l Holdings plc
TNO.L,RSM TENON GRP
TNW.L,Teleset Networks
TOL.L,TOLUNA
TOMK.L,Tomkins plc
TON.L,Titon Holdings plc
TOT.L,Total Produce
TOU.L,Touch Group
TOYE.L,TOYE
TPF.L,Taliesin Property Fund
TPH.L,Telephonetics
TPJ.L,Triple Plate
TPK.L,Travis Perkins plc
TPOU.L,THIRD POINT OFFSHORE INVESTORS
TPS.L,Turbo Power Systems
TPT.L,Topps Tiles
TRAK.L,TRAKm8 Holdings
TRB.L,TRIBAL GROUP PLC ORD 1P
TRBO.L,Turbotec Products
TRC.L,Trinity Capital
TRCS.L,Tracsis
TRD.L,Triad Group
TRE.L,TRADING EMMISION
TRG.L,Tr Eur. Growth
TRI.L,Trifast plc
TRP.L,Tower Resources
TRT.L,TRANSENSE TECHNOLOGIES PLC ORD
TRY.L,Tr. Prop. Inv. Trust
TSCO.L,Tesco plc
TSEG.L,TSE Group
TSG.L,TRANS-SIBER GOLD
TSTL.L,Tristel
TSW.L,TITAN EUROPE GB
TT.L,TUI TRAVEL
TTG.L,TT Group plc
TTNM.L,Tottenham Hotspur plc
TTR.L,32RED
TTS.L,Total Systems
TTV.L,TLN Group
TVZ.L,Travelzest
TW.L,Taylor Wimpey plc
TWE.L,Twenty
TWL.L,Weather Lottery (The
TXH.L,Tex Holdings
TXO.L,TX OIL & GAS
TXR.L,TITANIUM RES
TYR.L,Tyratech
UAV.L,UNICORN AIM VCT
UAVT.L,Unicorn AIM VCT II
UBC.L,UBC MEDIA GRP PLC ORD 1P
UBM.L,UNITED BUSINESS MEDIA PLC 25P
UCG.L,UTD CARPET GRP
UCP.L,Unitech Corporate Parks
UDG.L,United Drugs
UEM.L,UTILICO EM MKTS
UEN.L,URALS ENG PUB WI
UEP.L,UMC Energy
UFG.L,ULTIMATE FIN GRP
UKC.L,UK Coal Prices
UKCM.L,UK Commercial Property Plc
UKM.L,UK MAIL GRP
UKR.L,UKRPRODUCT GROUP
UKRO.L,Ukraine Opportunity Trust
UKT.L,UK SELECT TRUST
ULE.L,Ultra Elec.
ULT.L,Ultrasis Plc
ULVR.L,Unilever plc
UMC.L,UMECO plc
UNG.L,Universe Group
UNIQ.L,Uniq PLC
URA.L,URANIUM RES
URU.L,NIGER URANIUM
UTG.L,Unite Group Plc Ord 25p
UTL.L,Utilico
UTV.L,Ulster Television plc
UU.L,United Utilities plc
UVEL.L,UNIVISION ENG
VAL.L,Valirx
VCF.L,VALUE CATAL FD
VCP.L,Victoria Plc
VCT.L,Victrex
VDN.L,VINDON HEALTH
VEC.L,VECTURA GROUP GB
VED.L,VEDANTA RESOURCES GB
VEL.L,VELTI
VELO.L,Velosi
VER.L,VERNALIS
VERO.L,Vero Software
VGAS.L,Volga Gas
VICT.L,VICTORY VCT
VIN.L,Value & Income
VIR.L,Viridas
VIS.L,VITESSE MED PLC ORD 10P EX-ENT
VIY.L,Vialogy
VLE.L,Volvere PLC Ord 0.00001p
VLX.L,Volex Group plc
VML.L,Vane Minerals
VOD.L,Vodafone Group plc
VOF.L,VINACAP VIETNAM
VOG.L,VICTORIA OIL GB
VP.L,VP Plc
VRP.L,Verona Pharma
VSC.L,VISONIC LD IL
VTC.L,Vitec Group plc
VTG.L,VT GROUP
VTU.L,Vertu Motors
WBN.L,WOBURN ENERGY
WCC.L,West China Cement
WCW.L,Walker Crips Weddle
WEIR.L,Weir Group plc
WEST.L,Western & Oriental
WET.L,Watermark Global
WFC.L,Watford Leisure
WFCA.L,WFCA
WG.L,WOOD GRP (JOHN) ORD 3 1/3P
WGB.L,Walker Greenbank plc
WHI.L,W.H. IRELAND
WHL.L,WESTHOUSE HLDNGS
WICH.L,Wichford
WIL.L,WILMINGTON GROUP
WIN.L,Wincanton PLC
WIND.L,RENEWABLE EGY
WKP.L,Workspace Group
WKS.L,Works Media
WLF.L,Wolfson Microelectronics
WMH.L,WILLIAM HILL PLC
WNER.L,Warner Estate Holdings plc
WNN.L,WIN GB
WOR.L,WORLD CAREERS
WORK.L,Work Group
WOS.L,WOLSELEY
WPC.L,Witan Pac Inv
WPP.L,WPP Group plc
WREN.L,WREN EXTRA CARE
WRN.L,Worthington Group plc
WSG.L,Warburg SG Group
WSH.L,WSP Group plc
WSI.L,Workplace Systems
WSM.L,Wellstream Holdings
WSP.L,WYNNSTAY PROPS
WST.L,Westside Acquisitions
WTAN.L,Witan Invest Ord
WTB.L,Whitbread plc
WTE.L,WESTMOUNT ENERGY
WTH.L,Water Hall Group plc
WTI.L,WEATHERLY INTL
WTM.L,Waterman Group
WTR.L,World Trust Fd.
WYN.L,WYNNSTAY GROUP GB
XCH.L,Xchanging PLC
XCT.L,XCounter Ab
XPP.L,XP POWER
XPS.L,eXpansys
XPT.L,XPLOITE
XS7S.L,DJ Stoxx 600 Banks Short ETF
XS8S.L,DJ Stoxx 600 Technology Short ETF
XSDR.L,DJ Stoxx 600 Health Care
XSDX.L,DB X-trackers Shortdax ETF
XSES.L,DJ Stoxx 600 Oil & Gas Short ETF
XSPD.L,DB X-trackers S&P 500 Short ETF$
XSPS.L,DB X-trackers S&P 500 Short ETF
XSSX.L,DB X-trackers DJ Euro Stoxx 50 Short ETF
XTA.L,Xstrata Plc
XTR.L,Xtract Energy
XUKS.L,DB X-Trackers FTSE 100 Short
YCO.L,YCO GROUP
YELL.L,YELL GROUP
YGH.L,YINGGAO HLDGS
YNGA.L,Young & Co's Brewery plc
YSP.L,YOUR SPACE PLC ORD 1P
YULC.L,Yule Catto & Co plc
ZEST.L,Zest Group
ZMNO.L,Zamano
ZOO.L,ZOO DIGITAL GRP
ZOX.L,ZINCOX RESOURCES
ZRX.L,Zirax
ZTF.L,Zotefoams plc
ZTR.L,ZETAR GB
ZYT.L,ZYTRONIC PLC ORD 1P
