^P31,P3DOW - DJ SOUTHEAST ASIA STOCK INDEX
^PH1,PHDOW - DJ PHILIPPINES STOCK INDEX
^PH2,PHDOWD - DJ PHILIPPINES STOCK INDEX USD
^PSI,Philippines PSE Composite Index
^PSI20,PSI 20 (Portugal)
^PT1,PTDOW - DJ PORTUGAL STOCK INDEX
^PT2,PTDOWD - DJ PORTUGAL STOCK INDEX USD
^PTX,Polish Index
^PTXE,Polish Index Euro
^RTS,Russian Trading System Index
^RUX,Russian Indust Index
^S120,SBF 120
^S250,SBF 250
^S50,Thailand Set 50 Index
^S80,SBF 80
^SAX,Slovakia SAX Index
^SE1,SEDOW - DJ SWEDEN STOCK INDEX
^SE2,SEDOWD - DJ SWEDEN STOCK INDEX USD
^SG1,SGDOW - DJ SINGAPORE STOCK INDEX
^SG2,SGDOWD - DJ SINGAPORE STOCK INDEX USD
^SMSI,Madrid General Index
^SPM,FTSE MIB Index
^SPMIB,S&P Mib (Italy)
^SPT,S&P/Topix Yen
^SPTD,S&P/Topix USD
^SSEC,China Shanghai Composite Index
^SSM2,Swiss Market Index
^SSMI,Swiss Market Index
^STI,Singapore Straits Times Index
^SX5E,DJ Euro Stoxx50 Euro Price
^SX5K,DJ EURO STOXX 50 US$ PRICE
^SX5L,DJ STOXX 50 US$ PRICE
^SX5P,DJ STOXX 50 EURO Price
^SXXP,DJ Stoxx 600 Euro Price
^SZSC,China Shenzhen Composite Index
^T100,Topix 100
^TA100,TA-100 (Israel)
^TAX,FTSE techMark 100 Index
^TECD,TecDAX Performance Index
^TECP,TecDAX Price Index
^TH1,THDOW - DJ THAILAND STOCK INDEX
^TH2,THDOWD - DJ THAILAND STOCK INDEX USD
^TOPX,Tokyo Topix
^TW1,TWDOW - DJ TAIWAN STOCK INDEX
^TW2,TWDOWD - DJ TAIWAN STOCK INDEX USD
^TWII,Taiwan Weighted Index
^TXMX,TSE S&P Completion Index
^TXSX,TSE S&P Smallcap Index
^VDAX,DAX VOLATILITY INDEX
^VIXI,DAX NEW VOLATILITY INDEX
^W11,W1BSC - DJ WORLD BASIC MATERIALS INDEX
^W110,W1TEC - DJ WORLD TECHNOLOGY INDEX
^W111,W1UTI - DJ WORLD UTILITIES INDEX
^W12,W1CYC - DJ WORLD CONSUMER CYCLICALS INDE
^W13,W1DOW - DJ WORLD STOCK INDEX
^W14,W1ENE - DJ WORLD ENERGY INDEX
^W15,W1FIN - DJ WORLD FINANCIAL INDEX
^W16,W1IDU - DJ WORLD INDUSTRIAL INDEX
^W17,W1NCY - DJ WORLD CONSUMER NON-CYCLICALS
^W18,W1SGI - DJ WORLD GROUP INDEX COMPOSITE
^W19,W1SUS - DJ WORLD GROUP INDEX excl TOB/AL
^W21,W2BSC - DJ WORLD (EX US) BASIC MATERIALS
^W22,W2CYC - DJ WORLD (EX US) CONSUMER CYCLIC
^W23,W2DOW - DJ WORLD STOCK INDEX (EXCL US)
^W24,W2ENE - DJ WORLD (EX US) ENERGY INDEX
^W25,W2FIN - DJ WORLD (EX US) FINANCIAL INDEX
^W26,W2IDU - DJ WORLD (EX US) INDUSTRIAL INDE
^W27,W2NCY - DJ WORLD (EX US) CONSUMER NON-CY
^W28,W2TEC - DJ WORLD (EX US) TECHNOLOGY INDE
^W29,W2UTI - DJ WORLD (EX US) UTILITIES INDEX
^XL1,XLAUS - DJ AUSTRALIA EXTRA LIQUID INDEX
^XLHK,DJ HONG KONG EXTRA LIQUID INDEX
^XMSC,MSCI EAFE
^ZA1,ZADOW - DJ SOUTH AFRICA STOCK INDEX
^ZA2,ZADOWD - DJ SOUTH AFRICA STOCK INDEX USD
000001.SS,Shanghai Composite (China)
FTAS,FTSE All Share Index
OMXC20.CO,OMX Copenhagen 20 (Denmark)
XMSW,MSCI World Index
