1pm,OPM.L
Public Service Properties Inv,PSPI.L
PUBLISHING TECH,PTO.L
PUBS N BARS PLC ORD 20P,PNB.L
Puma VCT II,PMV.L
Puma VCT III,PUMC.L
PUNCH TAVERNS PLC ORD SHS,PUB.L
PURE WAFER GB,PUR.L
Purecircle,PURE.L
Puricore,PURI.L
PURSUIT DYNAMICS PLC ORD 1P P,PDX.L
PV Crystalox Solar,PVCS.L
PZ CUSSONS,PZC.L
QinetiQ Group,QQ.L
Qonnectis,QTI.L
Quadrant Group,QDG.L
Quardr Fuel Intl,QFI.L
Quarto Group,QRT.L
Quayle Munro,QYM.L
QUEEN S WALK WI,QWIL.L
Quester VCT 4,SVC2.L
Quester Vct Plc,SVCT.L
Quintain Estates & Development,QED.L
R.E.A. HLDGS PLC ORD 25P,RE.L
R.G.I. International (WI),RGI.L
RAB Capital,RAB.L
RAB Special,RSS.L
Radicle Projects,RDP.L
Ram Inv Grp,RAM.L
RAMBLER METALS,RMM.L
Randall & Quilter Invest. Hldgs,RQIH.L
RANDGOLD RESOURCES LD ORD,RRS.L
Rank Organisation plc,RNK.L
Ransom (William),RNSM.L
Rapid Realisations Fd,RRF.L
Rathbone Brothers plc,RAT.L
RAYMARINE GB,RAY.L
RCG Holdings,RCG.L
RCM Technology,RTT.L
REAL ESTATE INV,RLE.L
REAL ESTATE OPPORT LTD 1P,REO.L
Real Good Food Company,RGD.L
Real Office Group,REAL.L
Reckitt Benckiser,RB.L
Red Leopard Holdings,RLH.L
Red Rock Resources,RRR.L
RED24,REDT.L
Redhall Group,RHL.L
Redrow Group plc,RDW.L
REDSTONE TELECOM PLC ORD 5P,RED.L
Reed Elsevier,REL.L
REENERGY GROUP,RGY.L
REGAL PETROLEUM,RPT.L
REGEN THERAPEUT,RGT.L
Regenersis,RGS.L
REGUS PLC ORD 5P,RGU.L
Renaissance,RUG.L
ReNeuron Group,RENE.L
Renew Holdings,RNWH.L
RENEWABLE EGY,WIND.L
RENEWABLE ENERGY,REH.L
Renewable Power & Light,RPL.L
Renishaw plc,RSW.L
Renold plc,RNO.L
Renovo Group,RNVO.L
Rensburg,RBG.L
Rensburg Aim Vct,RSB.L
Rentokil Group plc,RTO.L
Res In Insurance,RIIG.L
Restaurants Group plc,RTN.L
REXAM plc,REX.L
Rheochem,RHEP.L
Ricardo Group plc,RCDO.L
RICHOUX GROUP,RICX.L
RICMORE CAPITAL,RCAP.L
Rightmove,RMV.L
Rights & Iss. Cap.,RIIC.L
RIghts & Iss. Inc.,RIII.L
Rio Tinto Plc,RIO.L
RIT Capital Part,RCP.L
RM plc,RM.L
ROBERT WALTERS PLC ORD 20P,RWA.L
ROBINSON PLC GB,RBN.L
Robotic Technology Sys Plc 1p,RTS.L
ROCKHOPPER EXP,RKH.L
ROEFORD PROPRTS,ROE.L
ROK Property,ROK.L
Rolls-Royce plc,RR.L
Romag Holdings,ROM.L
Ross Group,RGP.L
Rotala,ROL.L
Rotork plc,ROR.L
Royal & Sun Alliance Insurance Group,RSA.L
Royal Bank Scotland plc,RBS.L
Royal Dutch Shell,RDSA.L
Royal Dutch Shell B,RDSB.L
RPC Group plc,RPC.L
RPS Group plc,RPS.L
RSM TENON GRP,TNO.L
Rubicon Software Group,RUBI.L
Rugby Estates Investment Trust,RUGB.L
Rugby Estates plc,RES.L
RURELEC GB,RUR.L
RUSINA MINING,RMLA.L
Rutley European Property,RTY+.L
Ryanair Holdings plc ord,RYA.L
S & U plc,SUS.L
SAB Miller,SAB.L
Sabien Technology Group,SNT.L
Safeland,SAF.L
Safestore Holdings,SAFE.L
Sage Group plc,SGE.L
Sainsbury (J) plc,SBRY.L
Salamander Energy,SMDR.L
Saltus European Debt Strategies,SED.L
SANDERSON HLDGS GB,SND.L
SANDVINE,SAND.L
SANTAND 10 3/8,SANS+.L
SAREUM HOLDINGS GB,SAR.L
SATCOM GRP,SGH.L
Savile Grp,SAVG.L
Savills plc,SVS.L
Scapa Group plc,SCPA.L
Schroder Asia,SDP.L
Schroder Inc.,SCF.L
Schroder Japan,SJG.L
Schroder M&S Fd,SCP.L
Schroder Oriental Income Fund,SOI.L
Schroder UK,SDU.L
Schroder Ven. I.T.,SVI.L
Schroders N/V,SDRC.L
Schroders plc,SDR.L
SCISYS,SSY.L
Scot. Orntl. Smll.,SST.L
Scotland American Invest,SCAM.L
Scotland Invest Trust,SCIN.L
Scotland Mtge Trust,SMT.L
Scott Wilson Group,SWG.L
Scottish & Southern Energy plc ord 50p,SSE.L
SCOTTY GROUP,SCO.L
Sdl Plc Ord 1p,SDL.L
SEAENERGY,SEAE.L
Secs Trust of Scotland,STS.L
SEEING MACHINES,SEE.L
SEFTON RESOURCES INC COM SHS N,SER.L
SEGRO,SGRO.L
Senior Engineering Group plc,SNR.L
Sepura,SEPU.L
SERABI MINING,SRB.L
Serco Group plc,SRP.L
SERICA ENERGY WI,SQZ.L
Service Office Group,SVO.L
SERVICEPOWER TECH PLC ORD 10P,SVR.L
SERVISION GB,SEV.L
Servoca,SVCA.L
SEVERFIELD-ROWEN PLC,SFR.L
Severn Trent Water plc,SVT.L
Shaftesbury plc,SHB.L
Shanks Group PLC,SKS.L
SHANTA GOLD,SHG.L
Shariah Capital,SCAP.L
Shed Productions,SHDP.L
Shire Pharmaceutical,SHP.L
Shires Income Plc,SHRS.L
Shires Smlr. Co.,SHD.L
SHORE CAPITAL GROUP PLC ORD 2P,SGR.L
SIG plc,SHI.L
SIGMA TECH,SGM.L
SIGNET JEWELERS,SIG.L
Silanis International,SNS.L
Silent Therapy,SLN.L
Silverdell,SID.L
Simigon,SIM.L
Sinclair (Wm) Holdings plc,SNCL.L
Sinclair Pharm,SPH.L
Sinosoft Technology,SFT.L
Sirius Exploration,SXX.L
SIRIUS PETROLEUM,SRSP.L
Siteserv,SSV.L
Skipton Building Society,SKI+.L
Sky High,SKHG.L
Skyepharma,SKP.L
Slimma,SLM.L
SLINGSBY,SLNG.L
Small Co's Dividend Trust,SDV.L
Smart (J) & Co plc,SMJ.L
SMARTFOCUS GROUP GB,STF.L
Smith & Nephew Cos plc ord 10p,SN.L
Smith (David S) Holdings plc,SMDS.L
Smith (W.H.) Group plc,SMWH.L
Smiths Industries plc,SMIN.L
Smiths News,NWS.L
Smurfit Kappa(WI),SKG.L
Soco Int'l,SIA.L
SOFIA PROPERTY,SPFL.L
Software Radio Technology,SRT.L
SOLID STATE SUPL,SSP.L
SOLO OIL,SOLO.L
Solomon Gold,SOLG.L
Somero Enterprise,SOM.L
Sony Corporation,SON.L
SOPHEON PLC,SPE.L
SORBIC INTL,SORB.L
SOUND OIL,SOU.L
Sourc Bioscience,SBSC.L
South African Property Opps,SAPO.L
Southern Bear,STBR.L
Southern Cross Healthcare,SCHE.L
Sovereign Rev,SVN.L
SPACEANDPEOPLE GB,SAL.L
Spark Ventures,SPK.L
Spectris PLC,SXS.L
SPECTRUM INTER,SIN.L
Speedy Hire,SDY.L
Speymill,SYG.L
Speymill Deutsche Immobilien Co,SDIC.L
Speymill Macau Property Company,MCAU.L
SPICE,SPI.L
Spirax-Sarco Engineering plc,SPX.L
SPIRENT PLC ORD 3 1/3P,SPT.L
Spiritel Plc,STP.L
Sportech NP,SPO.L
SPORTINGBET PLC ORD 0.1P,SBT.L
Sports Direct International,SPD.L
Sports Media Grp,SPMG.L
SPORTSWINBET,SWB.L
SQS SOFT QLTY,SQS.L
SR Europe Investment Trust,SR.L
SSL International plc ord 10p,SSL.L
St James's Place,STJ.L
St Peter Port Capital,SPPC.L
St. Ives plc,SIV.L
St. Mowden Properties plc,SMP.L
Stadium Group,SDM.L
STAFFLINE GRP,STAF.L
Stagecoach Holdings plc,SGC.L
STAGECOACH THRTR,STA.L
Stand Life Eq,SLET.L
Standard Chartered,STAN+.L
Standard Chartered plc,STAN.L
Standard Life,SL.L
Standard Life Euro Pri Eqty Tst,SEP.L
Standard Life Inv,SLI.L
Stanelco,SEO.L
STANLEY GIBBONS GROUP LD ORD 1P,SGI.L
Starvest,SVE.L
STATPRO GRP PLC ORD 1P,SOG.L
STERLING ENERGY,SEY.L
Sterling Green Group,SGG.L
Stewart and Wight,STE.L
SThree,STHR.L
Stilo International,STL.L
STM Group,STM.L
Stobart Grp,STOB.L
STOCKCUBE,SKC.L
STRAIGHT PLC,STT.L
STRAT THOU GRP,STR.L
STRATEGIC EQ CAP,SEC.L
STRATEX INTL,STI.L
Strontium,STTM.L
STV Group,STVG.L
Styles & Wood Group,STY.L
Summit Corp,SUMM.L
SUNRISE DIAM,SDS.L
Supercart,SC.L
Superglass Holdings,SPGH.L
Supporta,SOR.L
SURFACE TRNFORM,SCE.L
SURGICAL INNOV,SUN.L
SUTTON HARBOUR,SUH.L
SVM Global Fund PLC,SVG.L
SVM OFEX FUND PLC,SVM.L
SVM UK Active,SVU.L
Swallowfield plc,SWL.L
SWP Group,SWP.L
Sylvania Resources,SLV.L
SYMPHONY PLASTIC,SYM.L
Synairgen,SNG.L
Synchronica,SYNC.L
Syndicate Asset Management,SAM.L
SYNERGY HEALTHCARE PLC ORD,SYR.L
Syntopix Group,SYN.L
SYSTEM C HEALTH,SYS.L
Taliesin Property Fund,TPF.L
Talvivaara Mining Company,TALV.L
TANDEM GROUP,TND.L
TANFIELD GROUP,TAN.L
Tangent Comm,TNG.L
TAPESTRY INC CO PCC,TIC.L
Tarsus Group,TRS.L
Tasty,TAST.L
Tate & Lyle plc,TATE.L
Tau Capital,TAU.L
Tawa,TAW.L
Taylor Wimpey plc,TW.L
Ted Baker,TBK.L
Teg Environment,TEG.L
Telecity Group,TCY.L
TELECOM PLUS PLC ORD .05P,TEP.L
Telephonetics,TPH.L
Teleset Networks,TNW.L
TELFORD HOMES,TEF.L
TELIT COMMS,TCM.L
Tembusu Investments,TIL.L
Templar Minerals,TMP.L
Temple Bar,TMPL.L
Templeton Emerging Market,TEM.L
TEN ALPS COMMS,TAL.L
TERRACE HILL GROUP PLC,THG.L
Tesco plc,TSCO.L
Tex Holdings,TXH.L
THB GROUP,THB.L
The Mission Marketing Group,TMMG.L
THEO FENNELL,TFL.L
THIRD POINT OFFSHORE INVESTORS,TPOU.L
Thirdforce,THF.L
Thomas Cook Group,TCG.L
Thor Mining,THR.L
Thorntons plc,THT.L
Thorpe (FW) plc,TFW.L
Throgmorton Trust,THRG.L
TIGER RESOURCE,TIR.L
TIKIT GROUP,TIK.L
Timestrip,TIME.L
TITAN EUROPE GB,TSW.L
TITANIUM RES,TXR.L
Titon Holdings plc,TON.L
TLN Group,TTV.L
TOLEDO MINING GB,TMC.L
TOLENT,TLT.L
TOLUNA,TOL.L
Tomkins plc,TOMK.L
TOP LEVEL DOMAIN,TLDH.L
Topps Tiles,TPT.L
Torotrak Plc Ord 10p,TRK.L
Total Produce,TOT.L
Total Systems,TTS.L
TOTALLY,TLY.L
Tottenham Hotspur plc,TTNM.L
Touch Group,TOU.L
TOUMAZ HLD,TMZ.L
Tower Resources,TRP.L
TOWN CENTRE SECURITIES PLC,TCSC.L
TOYE,TOYE.L
Tr Eur. Growth,TRG.L
Tr. Prop. Inv. Trust,TRY.L
Tracsis,TRCS.L
TRADING EMMISION,TRE.L
TrafficMaster plc,TFC.L
TRAKm8 Holdings,TRAK.L
TRANS-SIBER GOLD,TSG.L
TRANSENSE TECHNOLOGIES PLC ORD,TRT.L
Travelzest,TVZ.L
Travis Perkins plc,TPK.L
Treatt plc,TET.L
TREVERIA,TRVT.L
Triad Group,TRD.L
TRIBAL GROUP PLC ORD 1P,TRB.L
TRICORN GROUP,TCN.L
Trifast plc,TRI.L
Trinity Capital,TRC.L
Trinity Int'l Holdings plc,TNI.L
Triple Plate,TPJ.L
Tristel,TSTL.L
TROY INC & GRW,TIGT.L
TSE Group,TSEG.L
TT Group plc,TTG.L
TUI TRAVEL,TT.L
Tullett Prebon,TLPR.L
Tullow Oil,TLW.L
Turbo Power Systems,TPS.L
Turbotec Products,TRBO.L
Twenty,TWE.L
TX OIL & GAS,TXO.L
Tyratech,TYR.L
UBC MEDIA GRP PLC ORD 1P,UBC.L
UK Coal Prices,UKC.L
UK Commercial Property Plc,UKCM.L
UK MAIL GRP,UKM.L
UK SELECT TRUST,UKT.L
Ukraine Opportunity Trust,UKRO.L
UKRPRODUCT GROUP,UKR.L
Ulster Television plc,UTV.L
ULTIMATE FIN GRP,UFG.L
Ultra Elec.,ULE.L
Ultrasis Plc,ULT.L
UMC Energy,UEP.L
UMECO plc,UMC.L
UNICORN AIM VCT,UAV.L
Unicorn AIM VCT II,UAVT.L
Unilever plc,ULVR.L
Uniq PLC,UNIQ.L
Unite Group Plc Ord 25p,UTG.L
Unitech Corporate Parks,UCP.L
UNITED BUSINESS MEDIA PLC 25P,UBM.L
United Drugs,UDG.L
United Utilities plc,UU.L
Universe Group,UNG.L
UNIVISION ENG,UVEL.L
URALS ENG PUB WI,UEN.L
URANIUM,UML.L
URANIUM RES,URA.L
UTD CARPET GRP,UCG.L
Utilico,UTL.L
UTILICO EM MKTS,UEM.L
Valirx,VAL.L
Value & Income,VIN.L
VALUE CATAL FD,VCF.L
Vane Minerals,VML.L
VANTIS,VTS.L
VATUKLA GLD MN,VGMS.L
VECTURA GROUP GB,VEC.L
VEDANTA RESOURCES GB,VED.L
Velosi,VELO.L
VELTI,VEL.L
VERNALIS,VER.L
Vero Software,VERO.L
Verona Pharma,VRP.L
Vertu Motors,VTU.L
Vialogy,VIY.L
VICTORIA OIL GB,VOG.L
Victoria Plc,VCP.L
VICTORY VCT,VICT.L
Victrex,VCT.L
VINACAP VIETNAM,VOF.L
VINDON HEALTH,VDN.L
Viridas,VIR.L
Vislink,VLK.L
VISONIC LD IL,VSC.L
Vitec Group plc,VTC.L
VITESSE MED PLC ORD 10P EX-ENT,VIS.L
Vodafone Group plc,VOD.L
Volex Group plc,VLX.L
Volga Gas,VGAS.L
Volvere PLC Ord 0.00001p,VLE.L
VP Plc,VP.L
VT GROUP,VTG.L
W.H. IRELAND,WHI.L
Walker Crips Weddle,WCW.L
Walker Greenbank plc,WGB.L
Warburg SG Group,WSG.L
Warner Estate Holdings plc,WNER.L
Water Hall Group plc,WTH.L
Waterman Group,WTM.L
Watermark Global,WET.L
Watford Leisure,WFC.L
Weather Lottery (The,TWL.L
WEATHERLY INTL,WTI.L
Webis Holdings,WEBH.L
Weir Group plc,WEIR.L
Wellstream Holdings,WSM.L
West China Cement,WCC.L
Western & Oriental,WEST.L
WESTERN COAL,WTN.L
WESTHOUSE HLDNGS,WHL.L
WESTMOUNT ENERGY,WTE.L
Westside Acquisitions,WST.L
Wetherspoon (J D) plc,JDW.L
WFCA,WFCA.L
Whitbread plc,WTB.L
Wichford,WICH.L
WILLIAM HILL PLC,WMH.L
WILMINGTON GROUP,WIL.L
WIN GB,WNN.L
Wincanton PLC,WIN.L
Wiseman (Robert) Dairies plc,RWD.L
Witan Invest Ord,WTAN.L
Witan Pac Inv,WPC.L
WOBURN ENERGY,WBN.L
Wolfson Microelectronics,WLF.L
WOLSELEY,WOS.L
WOOD GRP (JOHN) ORD 3 1/3P,WG.L
Work Group,WORK.L
Workplace Systems,WSI.L
Works Media,WKS.L
Workspace Group,WKP.L
WORLD CAREERS,WOR.L
World Trust Fd.,WTR.L
Worthington Group plc,WRN.L
WPP Group plc,WPP.L
WREN EXTRA CARE,WREN.L
WSP Group plc,WSH.L
WYG,WYGR.L
WYNNSTAY GROUP GB,WYN.L
WYNNSTAY PROPS,WSP.L
XAAR Plc,XAR.L
Xchanging PLC,XCH.L
XCounter Ab,XCT.L
XP POWER,XPP.L
XPLOITE,XPT.L
Xstrata Plc,XTA.L
Xtract Energy,XTR.L
YCO GROUP,YCO.L
YELL GROUP,YELL.L
YINGGAO HLDGS,YGH.L
YOUGOV,YOU.L
Young & Co's Brewery plc,YNGA.L
YOUR SPACE PLC ORD 1P,YSP.L
Yule Catto & Co plc,YULC.L
Zamano,ZMNO.L
Zenergy Power,ZEN.L
Zest Group,ZEST.L
ZETAR GB,ZTR.L
ZINCOX RESOURCES,ZOX.L
Zirax,ZRX.L
ZOO DIGITAL GRP,ZOO.L
Zotefoams plc,ZTF.L
ZYTRONIC PLC ORD 1P,ZYT.L
