1pm,OPM.L
Catalytic Solutions,CTS.L
Cathay International Holdings,CTI.L
Catlin Group,CGL.L
CAVANAGH GROUP,CVH.L
Cayenne Trust (The),TCT.L
Caza Oil & Gas,CAZA.L
Cazenove Absolute Equity,CAEL+.L
CBaySystems Holdings,CBAY.L
CDS OIL & GAS,CDS.L
Ceiba Investments,CBA.L
Cellcast,CLTV.L
Cello Group,CLL.L
Celsis Int'l plc,CEL.L
Celtic plc,CCP.L
Cenkos Securities,CNKS.L
CENTAMIN EGYPT LD ORD NPV,CEY.L
CENTAUR HOLDINGS GB,CAU.L
Central African Gold,CAN.L
CENTRAL CHINA,GGG.L
Central Rand Gold,CRND.L
Centrica plc,CNA.L
CEPS,CEPS.L
Ceramic Fuel Cells,CFU.L
Ceres Agriculture Fund Ld,CROP.L
Ceres Power Holdings,CWR.L
Chamberlin plc,CMH.L
Chapelthorpe plc ord 5p,CPL.L
Character Group PLC,CCT.L
Charlemagne Capital,CCAP.L
Charles Stanley,CAY.L
Charles Taylor,CTR.L
CHARTER INTL,CHTR.L
CHARTER PAN-EUROPEAN TRUST PLC ORD 1P,CPE.L
CHARTERIS PLC ORD 1P,CAE.L
Chaucer Holdings,CHU.L
CHEERFUL SCOUT PLC ORD 0.5P,CLS.L
Chemring Group plc,CHG.L
Chesnara,CSN.L
Chime Communication PLC,CHW.L
China Biodiesel Intl Holding,CBI.L
China Eastsea Business Software,CESG.L
CHINA EVOLINE,CEVO.L
China Food Co,CFC.L
CHINA GOLDMINES,CGM.L
CHINA GRTH OPP,CGOP.L
China Real Estate Opportunities,CREO.L
China Shoto,CHNS.L
China Western Investments,CHWI.L
China Wonder,CWO.L
Chloride Group plc,CHLD.L
Christie Group,CTG.L
Chromex Mining,CHX.L
Chrysalis Group plc,CHS.L
Chrysalis Vct,CYS.L
Churchill China plc,CHH.L
Churchill Mining,CHL.L
Cineworld Group,CINE.L
Cinpart,CINP.L
CIRCLE OIL IE,COP.L
Ciref,CRF.L
City Lon. Pr. Group,CIN.L
City Merc. H.Y.,CHY.L
City National,CYN.L
City of London Investment Group,CLIG.L
CITY OF LONDON INVESTMENT TRUST PLC,CTY.L
CLAPHAM HOUSE GRP,CPH.L
CLARITY COMMERCE SOLUT ORD 25P,CCS.L
Clarke T.,CTO.L
Clarkson (Horace) plc,CKN.L
Clarkson Hill Group (The),CLKH.L
Clean Air Power,CAP.L
Clean Energy Brazil,CEB.L
Cleardebt Group,CLEA.L
Clearstream Technologies Group,CTN.L
Clerkenwell Ventures,CRK.L
Climate Exchange,CLE.L
Clinical Comp.,CLC.L
Clinton Cards plc,CC.L
CLIPPER WPR WI,CWP.L
Close Assets Funds,CSU.L
Close Brothers Group plc,CBG.L
CLOSE ENHANCED,CED.L
Close European Accelerated Fund,CEAF.L
CLOSE HIGH PROP,CHI.L
CLS Holdings plc,CLI.L
Cluff Gold,CLF.L
Clyde Process,CPSP.L
CMA Global Hedge PCC,CMAE.L
CML Microsystems plc,CML.L
Coal Of Africa,CZA.L
Coastal Energy Company,CEO.L
Cobham plc,COB.L
COBRA BIO MANU,CBF.L
COBURG GROUP,CGG.L
Coe Group,COE.L
COFFEEHEAVEN INT,COH.L
Cohort,CHRT.L
COLEFAX GROUP,CFX.L
Colliers Cre,COL.L
Collins Stewart Tullett PLC,CLST.L
Colt Telecom,COLT.L
COMM BROKING GRP,CB.L
Commoditrade Inc,CMM.L
Communisis,CMS.L
Company Health,CHT.L
Compass Group plc,CPG.L
Computacenter,CCC.L
Coms,COMS.L
CONCURRENT,CNC.L
Condor Resources,CNR.L
CONEXION MEDIA,CXMG.L
Connaught Plc Ord 10p,CNT.L
Connemara Mining Company,CON.L
CONROY DIAMONDS & GOLD PLC ORD,CDG.L
Consort Medical,CSRT.L
Contentfilm,CFL.L
Conygar Investment Company,CIC.L
COOKSON GROUP,CKSN.L
Coolabi,COO.L
CORAC GROUP PLC ORD 10P,CRA.L
Coral Products plc,CRU.L
Core Business (The),CORE.L
Corero,CORO.L
CORIN GROUP PLC ORD 2.5P,CRG.L
Cosalt plc,CSLT.L
Costain Group plc,COST.L
COVE ENERGY,COVE.L
Coventry Building Society,CVB+.L
CPL RESOURCES ORDINARY SHARE,CPS.L
CRANEWARE,CRW.L
Cranswick plc,CWK.L
Crawshaw Group,CRAW.L
CREAT RESOURCES,CRHL.L
Creightons,CRL.L
Creon Corporation,CRO.L
Creston Land,CRE.L
CRH PLC ORD EUR 0.32,CRH.L
Crimson Tide,TIDE.L
Croda Int'l plc,CRDA.L
Croma Group,CMG.L
Cropper (James) plc,CRPR.L
Crown Place Vct,CRWN.L
CSCAPE GRP,CSC.L
CSR,CSR.L
CSSSTELLAR PLC ORD,CSS.L
CUBUS LUX GB,CBX.L
Custom Vis,CUS.L
Cyan Holdings,CYAN.L
CYBIT HLDINGS,CYH.L
CYPROTEX,CRX.L
D1 OILS GB,DOO.L
Daejan Holdings plc,DJAN.L
Daily Mail & General Trust A,DMGT.L
Daily Mail and General Trust plc,DMGO.L
Dairy Crest Group,DCG.L
DAISY GROUP,DAY.L
Dana Petroleum,DNX.L
DANIEL STEWART GB,DAN.L
Dart Group plc,DTG.L
DATACASH GROUP,DATA.L
DATONG ELECTRON,DTE.L
DAVENHAM,DAV.L
Davis Service Group plc,DVSG.L
Dawson Holdings plc,DWN.L
Dawson Int'l plc,DWSN.L
DB X-trackers DJ Euro Stoxx 50 Short ETF,XSSX.L
DB X-Trackers FTSE 100 Short,XUKS.L
DB X-trackers S&P 500 Short ETF,XSPS.L
DB X-trackers S&P 500 Short ETF$,XSPD.L
DB X-trackers Shortdax ETF,XSDX.L
DCC Plc,DCC.L
DCD Media,DCD.L
DDD GROUP,DDD.L
De La Rue plc,DLAR.L
DEALOGIC HLDGS GB,DL.L
Debenhams (WI),DEB.L
DECHRA PHARMACEUTICALS PLC ORD,DPH.L
Dee Valley Group,DVW.L
Delcam PLC,DLC.L
Delta plc,DLTA.L
DELTEX MEDICAL,DEMG.L
Densitron Technologies,DSN.L
Deo Petroleum,DEO.L
Derwent London,DLN.L
Desire Petroleum Plc Ord 1p,DES.L
Develica Deutschland,DDE.L
Development Securities plc,DSC.L
Devro Int'l plc,DVO.L
Dewhurst 'A',DWHA.L
Dewhurst plc,DWHT.L
DEXION ABSOLUTE,DAB.L
DEXION COM EUR,DCL.L
Dexion Eq Alt,DEA.L
DEXION TRADING,DTL.L
Diageo Plc,DGE.L
Dialight,DIA.L
DiamondCorp,DCP.L
Digital Marketing Group,DIGI.L
DIGNITY (WI) GB,DTY.L
Dillistone Group,DSG.L
Dimension Data,DDT.L
Diploma plc,DPLM.L
Direct Wonen N.V.,DIWO.L
DIRECTORS INV,DDIT.L
Discover Leisure,DISL.L
Discovery Metals,DME.L
DJ Stoxx 600 Banks Short ETF,XS7S.L
DJ Stoxx 600 Health Care,XSDR.L
DJ Stoxx 600 Oil & Gas Short ETF,XSES.L
DJ Stoxx 600 Technology Short ETF,XS8S.L
DM Plc,DMP.L
DOLPHIN CAP INV,DCI.L
Dominion Petroleum,DPL.L
Domino Printing Sciences plc,DNO.L
DOMINO'S PIZZA,DOM.L
DORI MEDIA GRP,DMG.L
DOWNI ABSO VCT,DA1O.L
DOWNING PLANN,DPV2.L
DQ Entertainment,DQE.L
DRAGANFLY INV,DRG.L
Dragon Oil,DGO.L
Dragon-Ukrainian Prop. & Dev,DUPD.L
DRAX GROUP,DRX.L
DRIVER GROUP,DRV.L
DRS Data & Mngt,DRS.L
DSG Intl,DSGI.L
DTZ HOLDINGS,DTZ.L
Dunedin Ent. I.T.,DNE.L
Dunedin Inc.,DIG.L
Dunedin Small,DNDL.L
Dunelm Group,DNLM.L
DYSON GROUP,DYS.L
E2V Technologies,E2V.L
Eaga,EAGA.L
Eagle Eye Telematics,EIT.L
EARTHPORT,EPO.L
East European Trust,EST.L
Eastern European Property,EEP.L
EASYJET PLC ORD 25P,EZJ.L
EBIQUITY,EBQ.L
ECKOH TECHNOLOGIES PLC ORD,ECK.L
